requirement,clauses,implementation,test
FR-E17-02,Blueprint Section 3.1; ISO/IEC 17025:2017 8.4.2,backend/apps/accounts/permissions.py:18; backend/apps/audit/models.py:5; backend/apps/audit/migrations/0004_audit_log_append_only.py:2,backend/tests/test_audit_append_only.py::test_every_partition_has_update_delete_and_truncate_revoked
FR-E17-02,Blueprint Section 3.1; ISO/IEC 17025:2017 8.4.2,backend/apps/accounts/permissions.py:18; backend/apps/audit/models.py:5; backend/apps/audit/migrations/0004_audit_log_append_only.py:2,backend/tests/test_audit_append_only.py::test_raw_sql_cannot_delete_an_entry
FR-E17-02,Blueprint Section 3.1; ISO/IEC 17025:2017 8.4.2,backend/apps/accounts/permissions.py:18; backend/apps/audit/models.py:5; backend/apps/audit/migrations/0004_audit_log_append_only.py:2,backend/tests/test_audit_append_only.py::test_the_ledger_cannot_be_truncated
FR-E17-02,Blueprint Section 3.1; ISO/IEC 17025:2017 8.4.2,backend/apps/accounts/permissions.py:18; backend/apps/audit/models.py:5; backend/apps/audit/migrations/0004_audit_log_append_only.py:2,backend/tests/test_audit_append_only.py::test_the_orm_cannot_delete_an_entry
FR-E17-02,Blueprint Section 3.1; ISO/IEC 17025:2017 8.4.2,backend/apps/accounts/permissions.py:18; backend/apps/audit/models.py:5; backend/apps/audit/migrations/0004_audit_log_append_only.py:2,backend/tests/test_audit_append_only.py::test_the_orm_cannot_update_an_entry
FR-E17-03,Blueprint Section 3.1; Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:8; backend/apps/audit/migrations/0004_audit_log_append_only.py:2,backend/tests/test_audit_append_only.py::test_a_partition_created_after_the_migration_still_refuses_a_delete
FR-E17-03,Blueprint Section 3.1; Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:8; backend/apps/audit/migrations/0004_audit_log_append_only.py:2,backend/tests/test_audit_append_only.py::test_an_insert_is_still_allowed
FR-E17-03,Blueprint Section 3.1; Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:8; backend/apps/audit/migrations/0004_audit_log_append_only.py:2,backend/tests/test_audit_append_only.py::test_every_partition_has_update_delete_and_truncate_revoked
FR-E17-03,Blueprint Section 3.1; Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:8; backend/apps/audit/migrations/0004_audit_log_append_only.py:2,backend/tests/test_audit_append_only.py::test_raw_sql_cannot_delete_an_entry
FR-E17-03,Blueprint Section 3.1; Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:8; backend/apps/audit/migrations/0004_audit_log_append_only.py:2,backend/tests/test_audit_append_only.py::test_the_ledger_cannot_be_truncated
FR-E17-03,Blueprint Section 3.1; Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:8; backend/apps/audit/migrations/0004_audit_log_append_only.py:2,backend/tests/test_audit_append_only.py::test_the_orm_cannot_delete_an_entry
FR-E17-03,Blueprint Section 3.1; Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:8; backend/apps/audit/migrations/0004_audit_log_append_only.py:2,backend/tests/test_audit_append_only.py::test_the_orm_cannot_update_an_entry
FR-E17-03,Blueprint Section 3.1; Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:8; backend/apps/audit/migrations/0004_audit_log_append_only.py:2,backend/tests/test_report_generation.py::test_the_object_key_is_versioned_so_a_correction_cannot_overwrite_the_issued_pdf
FR-S1-01,Blueprint Section 3.1,backend/apps/accounts/models.py:190; backend/apps/accounts/services.py:3,
